117,4,Tout etait parfait,2010-02-11
23,3,Je conseille fortement jy ai tres bien mange,2009-05-18
54,2,Lieu extraordinaire,2014-08-24
55,5,Les gerants sont charmants mais le petit dejeuner laisse a desirer,2009-09-11
73,2,Je conseille fortement jy ai tres bien mange,2013-01-04
39,4,Je conseille fortement jy ai tres bien mange,2007-04-14
81,2,La literie aurait besoin d etre change,2008-02-25
3,2,La decoration est identique au paysage de la region a couper le souffle,2014-12-15
4,4,Etablissement neuf rien a dire,2014-10-19
5,3,Tout vient detre refait,2014-12-22
25,1,Je conseille fortement jy ai tres bien mange,2008-06-02
44,3,La decoration est identique au paysage de la region a couper le souffle,2011-03-21
66,4,La literie aurait besoin d etre change,2012-09-24
49,3,Rien a dire,2008-02-25
62,5,Tout vient detre refait,2011-01-20
37,3,Je ne suis pas daccord avec les avis sur ce site et je suis decu pas mes achats,2010-02-11
98,1,Je ne suis pas daccord avec les avis sur ce site et je suis decu pas mes achats,2011-07-15
49,5,Cest rare de trouver cette qualite de service pour ce prix,2007-11-25
73,2,Cest rare de trouver cette qualite de service pour ce prix,2010-01-24
69,4,Je conseille fortement jy ai tres bien mange,2009-11-5
8,4,La decoration est identique au paysage de la region a couper le souffle,2013-09-21
2,1,Les gerants sont charmants mais le petit dejeuner laisse a desirer,2012-02-12
27,2,Tout etait parfait,2010-11-14
18,2,La decoration est identique au paysage de la region a couper le souffle,2013-05-17
9,3,La literie aurait besoin d etre change,2010-07-08
62,2,La literie aurait besoin d etre change,2008-02-25
17,3,Tout etait parfait,2009-09-11
9,1,Rien a dire,2012-09-17
108,3,Rien a dire,2008-03-17
52,4,Il y a qune chose a dire le proprietaire est un gougas,2010-02-11
90,2,Lieu extraordinaire,2013-05-06
99,3,La literie aurait besoin d etre change,2011-03-21
68,3,Les gerants sont charmants mais le petit dejeuner laisse a desirer,2014-01-16
119,1,Etablissement tout neuf rien a dire,2008-11-07
107,3,Tout etait parfait,2012-09-17
13,2,Je conseille fortement jy ai tres bien mange,2011-04-07
41,4,Je conseille fortement jy ai tres bien mange,2011-09-19
56,5,Etablissement tout neuf rien a dire,2013-02-25
90,5,Les gerants sont charmants mais le petit dejeuner laisse a desirer,2012-02-02
88,2,Tout vient detre refait,2011-04-07
25,4,Tout etait parfait,2007-01-04
85,4,Etablissement tout neuf rien a dire,2008-11-07
1,4,Etablissement tout neuf rien a dire,2013-11-27
17,2,Je le conseille fortement,2010-01-02
69,2,Etablissement tout neuf rien a dire,2012-09-24
